time,charge,power,odometer,weight,temperature,doors,start_date,start_time
0,0,-52.99851651782564,76661.32845206751,14017.55632286268,15.25,2,2023-04-27,13:38:00
1,0,-62.6441987073925,76661.3293983541,14544.025004933213,15.92,2,2023-04-27,13:38:00
2,0,-69.88046478578808,76661.33168572845,13648.312680341553,15.57,2,2023-04-27,13:38:00
3,,-72.75747486573411,76661.33387032633,12817.163075690409,15.58,2,2023-04-27,13:38:00
4,0,-69.2146589629734,76661.3365704429,13992.277491845483,15.26,2,2023-04-27,13:38:00
5,0,-78.8191942990944,76661.34020867803,12267.22929505754,15.73,2,2023-04-27,13:38:00
6,0,-78.54344548638531,76661.34340932332,14127.525608278142,15.26,2,2023-04-27,13:38:00
7,0,-91.44532294246578,76661.3481880958,14690.659656801236,15.17,2,2023-04-27,13:38:00
8,0,-95.26243069859316,76661.3534312493,15543.92873093073,15.7,2,2023-04-27,13:38:00
9,0,-100.94636596913216,76661.35960485578,13925.38265129807,15.96,2,2023-04-27,13:38:00
10,0,-96.21935710234493,76661.36533924476,14224.243154793763,15.96,2,2023-04-27,13:38:00
11,,-107.12783524827252,76661.37283088829,14444.924287736532,15.78,2,2023-04-27,13:38:00
12,0,-111.99683494341534,76661.38094078306,14017.936062180159,15.92,2,2023-04-27,13:38:00
13,0,-118.62206523975718,76661.38935894046,13989.833051980937,15.63,2,2023-04-27,13:38:00
14,0,-129.83398545500924,76661.3990242571,14549.755690635177,16.25,2,2023-04-27,13:38:00
15,0,-124.74145740874275,76661.40855023514,12718.14653397265,15.59,2,2023-04-27,13:38:00
16,0,-135.86163810343405,76661.41907073767,13690.63241371476,14.98,2,2023-04-27,13:38:00
17,0,-132.69339850811286,76661.4298606223,13269.467948237054,16.41,2,2023-04-27,13:38:00
18,0,-142.5349496939508,76661.44121328287,15566.833859805392,16.09,2,2023-04-27,13:38:00
19,0,-152.34522413272745,76661.45417869746,13537.429501267705,15.02,2,2023-04-27,13:38:00
20,0,-142.9507458767453,76661.46597712964,13729.229170683626,15.69,2,2023-04-27,13:38:00
21,0,-145.90117280299563,76661.47842598894,12997.614045169257,16.75,2,2023-04-27,13:38:00
22,0,-148.4770987846558,76661.49116112945,13121.739636136235,16.31,2,2023-04-27,13:38:00
23,0,-149.4312919648038,76661.50333858194,13852.12971810488,16.72,2,2023-04-27,13:38:00
24,0,-146.09566167526964,76661.51606538038,13533.025616493705,16.14,2,2023-04-27,13:38:00
25,0,-135.9307724813553,76661.5279816285,13706.822350384018,15.4,2,2023-04-27,13:38:00
26,0,-143.01137257527793,76661.5401320505,12946.952894385953,15.1,2,2023-04-27,13:38:00
27,0,-142.6385723866678,76661.5524005641,13804.801826064773,16.25,2,2023-04-27,13:38:00
28,0,-144.8359946619867,76661.56479066313,15696.348998712074,16.16,2,2023-04-27,13:38:00
29,0,-144.56293414019717,76661.57714717844,13779.125238734834,15.6,2,2023-04-27,13:38:00
30,0,-140.18890429096226,76661.58937772833,13307.369522674657,16.09,2,2023-04-27,13:38:00
31,0,-140.63930908104814,76661.60106105475,13259.757767912399,15.62,2,2023-04-27,13:38:00
32,0,-132.1641038682348,76661.61228792885,14898.561501071343,16.46,2,2023-04-27,13:38:00
33,0,-154.98689912954598,76661.62546261237,12219.168261582507,16.98,2,2023-04-27,13:38:00
34,0,-144.7930199186598,76661.63719132644,12895.816227790378,16.44,2,2023-04-27,13:38:00
35,0,-141.1771876203124,76661.64870138929,13223.326028631509,16.98,2,2023-04-27,13:38:00
36,0,-158.14121702038375,76661.66215944481,12817.079196646879,17.08,2,2023-04-27,13:38:00
37,0,-136.50581344023746,76661.67430646277,14401.995207728783,16.66,2,2023-04-27,13:38:00
38,0,-139.97805701025385,76661.68620928295,13876.794020631472,16.13,2,2023-04-27,13:38:00
39,0,-134.19387918601322,76661.69767368298,14088.873343490484,16.98,2,2023-04-27,13:38:00
40,0,-144.22120081911368,76661.70939793196,13309.826508948161,16.71,2,2023-04-27,13:38:00
41,0,-143.9468091487924,76661.72115148147,13470.425001239759,16.48,2,2023-04-27,13:38:00
42,0,-149.4836165132394,76661.73375692463,13527.49614750694,16.18,error,2023-04-27,13:38:00
43,0,-145.8312599482402,76661.74581649316,15542.17980600099,16.51,2,2023-04-27,13:38:00
44,0,-152.15102796608159,76661.75866598121,12998.757018944367,15.62,2,2023-04-27,13:38:00
45,0,-154.98457095347433,76661.77176719026,12995.975244521176,16.56,2,2023-04-27,13:38:00
46,0,-148.53670479150398,76661.78484981549,15311.530891318182,16.17,2,2023-04-27,13:38:00
47,0,-148.77066489007876,76661.79712303852,13764.02711843402,16.7,2,2023-04-27,13:38:00
48,0,-148.057479397755,76661.80990519241,12860.117323849716,17.18,2,2023-04-27,13:38:00
49,0,-144.02232686980773,76661.82171447609,14075.610843398566,15.43,2,2023-04-27,13:38:00
50,0,-154.02906846326619,76661.8347598053,15063.375307323015,16.61,2,2023-04-27,13:38:00
51,0,-146.65079847678817,76661.84721199678,13485.980254812377,16.64,2,2023-04-27,13:38:00
52,0,-144.0940890223367,76661.85964887196,13322.500418405374,16.78,2,2023-04-27,13:38:00
53,0,-144.4034640597128,76661.87186300912,13509.535569229309,17.06,2,2023-04-27,13:38:00
54,0,-148.1735473501833,76661.88433454359,14576.552762897552,17.12,2,2023-04-27,13:38:00
